epoch,lr,lr-AdamW,step,train_iou_bedrock,train_iou_big_rock,train_iou_sand,train_iou_soil,train_loss,train_miou,val_iou_bedrock,val_iou_big_rock,val_iou_sand,val_iou_soil,val_loss,val_miou
,,0.0003,0,,,,,,,,,,,,
0,,,1606,,,,,,,0.883014976978302,0.28585198521614075,0.7195219993591309,0.8885523080825806,0.6997091770172119,0.6942353248596191
0,0.00029970399918965995,,1606,0.8184201717376709,0.17132368683815002,0.6878131031990051,0.8001099228858948,0.8585116863250732,0.6194167137145996,,,,,,
,,0.0002997040092642407,1607,,,,,,,,,,,,
1,,,3213,,,,,,,0.890773355960846,0.31838276982307434,0.8125727772712708,0.9165962338447571,0.5653994679450989,0.7345812916755676
1,0.0002988172054756433,,3213,0.8802995085716248,0.288958877325058,0.7696007490158081,0.8641617298126221,0.6699305176734924,0.70075523853302,,,,,,
,,0.0002988172051971717,3214,,,,,,,,,,,,
2,,,4820,,,,,,,0.9162372350692749,0.3599672317504883,0.8577285408973694,0.9384452104568481,0.49185818433761597,0.768094539642334
2,0.0002973430964630097,,4820,0.9045149087905884,0.3599204421043396,0.8141074776649475,0.8949990272521973,0.5861751437187195,0.7433854341506958,,,,,,
,,0.0002973430876093033,4821,,,,,,,,,,,,
3,,,6427,,,,,,,0.9270421266555786,0.481717050075531,0.8565474152565002,0.9292573928833008,0.5271695256233215,0.7986409664154053
3,0.00029528746381402016,,6427,0.9129277467727661,0.3806098699569702,0.8244280815124512,0.9026988744735718,0.5535315275192261,0.7551661729812622,,,,,,
,,0.00029528747416929463,6428,,,,,,,,,,,,
4,,,8034,,,,,,,0.9171872138977051,0.4757957458496094,0.812475323677063,0.9201977252960205,0.562722384929657,0.7814140319824219
4,0.00029265848570503294,,8034,0.9206818342208862,0.42475003004074097,0.8365308046340942,0.9118612408638,0.5161953568458557,0.7734559774398804,,,,,,
,,0.00029265847744427303,8035,,,,,,,,,,,,
5,,,9641,,,,,,,0.905692458152771,0.4422273337841034,0.7749917507171631,0.9165543913841248,0.592114269733429,0.75986647605896
5,0.00028946646489202976,,9641,0.925315260887146,0.4536944031715393,0.8498899340629578,0.9172346591949463,0.49023494124412537,0.7865335941314697,,,,,,
,,0.0002894664728832377,9642,,,,,,,,,,,,
6,,,11248,,,,,,,0.9276269674301147,0.47600483894348145,0.8547760844230652,0.9444780349731445,0.4379934072494507,0.8007215261459351
6,0.0002857240615412593,,11248,0.9288185238838196,0.5066454410552979,0.8528884053230286,0.9202123284339905,0.4678693115711212,0.8021411895751953,,,,,,
,,0.000285724057869903,11249,,,,,,,,,,,,
7,,,12855,,,,,,,0.9046729207038879,0.3055965006351471,0.852438747882843,0.9434834122657776,0.46771758794784546,0.7515479326248169
7,0.00028144600219093263,,12855,0.9347187280654907,0.5317658185958862,0.8682352304458618,0.9270462989807129,0.4484542906284332,0.8154414892196655,,,,,,
,,0.00028144600200657956,12856,,,,,,,,,,,,
8,,,14462,,,,,,,0.9127183556556702,0.5198101997375488,0.8891857862472534,0.9073509573936462,0.5642871856689453,0.807266354560852
8,0.00027664919616654515,,14462,0.9359424710273743,0.566127598285675,0.872246265411377,0.9295569062232971,0.42593881487846375,0.8259682655334473,,,,,,
,,0.0002766491888253023,14463,,,,,,,,,,,,
9,,,16069,,,,,,,0.9172341823577881,0.4624449610710144,0.810314416885376,0.9143953323364258,0.6236537098884583,0.7760972380638123
9,0.00027135256095789373,,16069,0.9409787058830261,0.5995352864265442,0.8737861514091492,0.9346792697906494,0.4087733328342438,0.8372448682785034,,,,,,
,,0.00027135254915624217,16070,,,,,,,,,,,,
10,,,17676,,,,,,,0.930709958076477,0.549680233001709,0.8255184292793274,0.945808470249176,0.5116443634033203,0.8129292726516724
10,0.0002655769931152463,,17676,0.9427734613418579,0.6117321848869324,0.8739445805549622,0.9357751607894897,0.40211570262908936,0.8410563468933105,,,,,,
,,0.0002655769864163684,17677,,,,,,,,,,,,
11,,,19283,,,,,,,0.9175222516059875,0.5301627516746521,0.820228099822998,0.9342992901802063,0.5360862612724304,0.8005530834197998
11,0.0002593452809378505,,19283,0.9475208520889282,0.6421465277671814,0.8814293146133423,0.9415372014045715,0.3744276762008667,0.8531584739685059,,,,,,
,,0.0002593452941132117,19284,,,,,,,,,,,,
12,,,20890,,,,,,,0.9364075660705566,0.568176805973053,0.8657985925674438,0.9386060237884521,0.44912880659103394,0.8272472620010376
12,0.0002526820753701031,,20890,0.9488641023635864,0.6629480123519897,0.8839083313941956,0.9425258040428162,0.37400519847869873,0.859561562538147,,,,,,
,,0.0002526820658893033,20891,,,,,,,,,,,,
13,,,22497,,,,,,,0.9290080070495605,0.5137708187103271,0.885362446308136,0.9368575811386108,0.42617639899253845,0.8162497282028198
13,0.00024561359896324575,,22497,0.9524981379508972,0.6898833513259888,0.8879712224006653,0.9466828107833862,0.3500947058200836,0.8692588806152344,,,,,,
,,0.0002456135984623034,22498,,,,,,,,,,,,
14,,,24104,,,,,,,0.9402584433555603,0.5099337697029114,0.884922444820404,0.9462413787841797,0.4429732859134674,0.820339024066925
14,0.00023816779139451683,,24104,0.9556668996810913,0.716122031211853,0.8960621356964111,0.9504805207252502,0.3446948826313019,0.8795828819274902,,,,,,
,,0.00023816778784387096,24105,,,,,,,,,,,,
15,,,25711,,,,,,,0.9409090280532837,0.5524941682815552,0.9004668593406677,0.9424490332603455,0.544059693813324,0.8340797424316406
15,0.0002303740184288472,,25711,0.9590693712234497,0.7317454218864441,0.8996076583862305,0.9551352262496948,0.3371216356754303,0.886389434337616,,,,,,
,,0.00023037401924684944,25712,,,,,,,,,,,,
16,,,27318,,,,,,,0.9373772144317627,0.4913956820964813,0.9035031199455261,0.9447993636131287,0.46720099449157715,0.8192688226699829
16,0.00022226305736694485,,27318,0.9581826329231262,0.7396017909049988,0.8975801467895508,0.95263671875,0.3304424583911896,0.887000322341919,,,,,,
,,0.00022226305111525726,27319,,,,,,,,,,,,
17,,,28925,,,,,,,0.943817138671875,0.5568267703056335,0.8799829483032227,0.9463646411895752,0.6422197818756104,0.8317478895187378
17,0.00021386689331848174,,28925,0.9630047678947449,0.7675280570983887,0.90482097864151,0.9589493870735168,0.28576791286468506,0.8985757827758789,,,,,,
,,0.00021386689373476087,28926,,,,,,,,,,,,
18,,,30532,,,,,,,0.9320709705352783,0.5692359805107117,0.8706814050674438,0.9350225329399109,0.5317018628120422,0.8267527222633362
18,0.00020521869009826332,,30532,0.9631945490837097,0.7806240320205688,0.9115523099899292,0.9594388604164124,0.2766665816307068,0.903702437877655,,,,,,
,,0.00020521868290270169,30533,,,,,,,,,,,,
19,,,32139,,,,,,,0.937635064125061,0.561074435710907,0.8873569965362549,0.9436338543891907,0.49565163254737854,0.8324251174926758
19,0.00019635254284366965,,32139,0.9641431570053101,0.7983464002609253,0.9155335426330566,0.9614211320877075,0.24882599711418152,0.9098610877990723,,,,,,
,,0.00019635254915624208,32140,,,,,,,,,,,,
20,,,33746,,,,,,,0.941640317440033,0.599643349647522,0.8993681073188782,0.9424329996109009,0.5142641067504883,0.8457711935043335
20,0.0001873034780146554,,33746,0.9665716886520386,0.8168336153030396,0.9157578945159912,0.9644568562507629,0.23982146382331848,0.9159049987792969,,,,,,
,,0.00018730348307472816,33747,,,,,,,,,,,,
21,,,35353,,,,,,,0.9328234791755676,0.4408513009548187,0.8858531713485718,0.9330935478210449,0.8029491901397705,0.7981553673744202
21,0.00017810719145927578,,35353,0.9689998030662537,0.8339765071868896,0.9186785221099854,0.9646838307380676,0.22795864939689636,0.9215846657752991,,,,,,
,,0.00017810719718785867,35354,,,,,,,,,,,,
22,,,36960,,,,,,,0.9435309767723083,0.5730310082435608,0.8977162837982178,0.9453408718109131,0.5627827048301697,0.83990478515625
22,0.00016879999020602554,,36960,0.9722561836242676,0.8516145944595337,0.9233558177947998,0.9692724943161011,0.20447927713394165,0.9291247725486755,,,,,,
,,0.00016879998503464564,36961,,,,,,,,,,,,
23,,,38567,,,,,,,0.9435431361198425,0.5168969631195068,0.9000172019004822,0.9454548358917236,0.7083197236061096,0.8264780640602112
23,0.00015941857418511063,,38567,0.9734746217727661,0.8368216156959534,0.9271984100341797,0.9722452163696289,0.20209573209285736,0.9274349212646484,,,,,,
,,0.000159418577929397,38568,,,,,,,,,,,,
24,,,40174,,,,,,,0.941591203212738,0.5021185278892517,0.8875942230224609,0.9413753747940063,0.7598452568054199,0.8181698322296143
24,0.0001500000071246177,,40174,0.9742647409439087,0.8615750074386597,0.9313768148422241,0.9726825952529907,0.19043874740600586,0.9349747896194458,,,,,,
,,0.00015,40175,,,,,,,,,,,,
25,,,41781,,,,,,,0.9435884356498718,0.5202919244766235,0.8999269604682922,0.9452517032623291,0.6447141170501709,0.8272647857666016
25,0.00014058142551220953,,41781,0.9755170941352844,0.8706452250480652,0.9384179711341858,0.9744071364402771,0.18471106886863708,0.9397468566894531,,,,,,
,,0.000140581422070603,41782,,,,,,,,,,,,
26,,,43388,,,,,,,0.9471244812011719,0.6106221079826355,0.9029632210731506,0.949277400970459,0.4961346387863159,0.8524968028068542
26,0.00013120000949129462,,43388,0.9779355525970459,0.8777706027030945,0.9390923380851746,0.9774513244628906,0.16087715327739716,0.943062424659729,,,,,,
,,0.00013120001496535436,43389,,,,,,,,,,,,
27,,,44995,,,,,,,0.9454430341720581,0.5514917969703674,0.887790322303772,0.9442769289016724,0.6408138871192932,0.8322505354881287
27,0.00012189280096208677,,44995,0.9788851737976074,0.9034628868103027,0.9446801543235779,0.9784073829650879,0.14452709257602692,0.9513589143753052,,,,,,
,,0.0001218928028121413,44996,,,,,,,,,,,,
28,,,46602,,,,,,,0.9434928297996521,0.5365371704101562,0.8953105807304382,0.9454216361045837,0.6964432597160339,0.8301905393600464
28,0.00011269651440670714,,46602,0.9787565469741821,0.8950831294059753,0.9451140761375427,0.9782314300537109,0.14482761919498444,0.9492962956428528,,,,,,
,,0.00011269651692527177,46603,,,,,,,,,,,,
29,,,48209,,,,,,,0.944625198841095,0.5680935382843018,0.9063206315040588,0.9447138905525208,0.6658558249473572,0.8409383296966553
29,0.0001036474495776929,,48209,0.9823670387268066,0.9035599827766418,0.9487436413764954,0.9823436737060547,0.13448837399482727,0.9542535543441772,,,,,,
,,0.00010364745084375793,48210,,,,,,,,,,,,
30,,,49816,,,,,,,0.9440681338310242,0.6005244851112366,0.9065308570861816,0.9451665878295898,0.595734715461731,0.8490725159645081
30,9.478131687501445e-05,,49816,0.9833701848983765,0.900473952293396,0.9512750506401062,0.9829438328742981,0.14164632558822632,0.9545157551765442,,,,,,
,,9.478131709729836e-05,49817,,,,,,,,,,,,
