run_id,name,split,scope,metric,value,inter,union,n_valid
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,soil,iou,,0,0,0
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,bedrock,iou,,0,0,0
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,sand,iou,,0,0,0
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,0
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,,0,0,0
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,,0,0,0
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,soil,iou,0.0,0,4482,123986
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,bedrock,iou,0.9638507573435711,119504,123986,123986
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,sand,iou,,0,0,123986
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,123986
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,0.9638507573435711,0,0,123986
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,0.4829444720232608,0,0,123986
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,soil,iou,0.8931530214424951,7331,8208,22748
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,bedrock,iou,0.9883869034239904,13192,13347,22748
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,sand,iou,0.6120772946859904,1267,2070,22748
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,big_rock,iou,0.0,0,81,22748
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,ALL,pixel_acc,0.9578864075962722,0,0,22748
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,ALL,boundary_f1,0.6223074670249225,0,0,22748
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,soil,iou,,0,0,36839
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,bedrock,iou,0.9688916637259426,35693,36839,36839
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,sand,iou,,0,0,36839
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,big_rock,iou,0.0,0,1146,36839
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,ALL,pixel_acc,0.9688916637259426,0,0,36839
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,ALL,boundary_f1,0.46159011249653215,0,0,36839
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,soil,iou,,0,0,88991
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,bedrock,iou,1.0,88991,88991,88991
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,sand,iou,,0,0,88991
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,big_rock,iou,,0,0,88991
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,ALL,pixel_acc,1.0,0,0,88991
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,ALL,boundary_f1,1.0,0,0,88991
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,soil,iou,,0,0,0
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,bedrock,iou,,0,0,0
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,sand,iou,,0,0,0
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,big_rock,iou,,0,0,0
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,ALL,pixel_acc,,0,0,0
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,ALL,boundary_f1,,0,0,0
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_601414568edr_f0731482ncam00253m1,test_msl,soil,iou,1.0,124196,124196,124196
deeplabv3plus__pretrained__resnet50__in_rover__seed1415__gpu_full__b94cb23d__gitc188b320__codebebd8b2d__20260713T182656018111Z,msl_ncam_nla_601414568edr_f0731482ncam00253m1,test_msl,bedrock,iou,,0,0,124196
