epoch,lr,lr-AdamW,step,train_iou_bedrock,train_iou_big_rock,train_iou_sand,train_iou_soil,train_loss,train_miou,val_iou_bedrock,val_iou_big_rock,val_iou_sand,val_iou_soil,val_loss,val_miou
,,0.0003,0,,,,,,,,,,,,
0,,,1606,,,,,,,0.9172046780586243,0.337361216545105,0.8595679998397827,0.9348634481430054,0.4874740540981293,0.7622493505477905
0,0.00029970399918965995,,1606,0.9071224331855774,0.33522331714630127,0.8156018853187561,0.9089745283126831,0.548212468624115,0.7417305707931519,,,,,,
,,0.0002997040092642407,1607,,,,,,,,,,,,
1,,,3213,,,,,,,0.9233675003051758,0.486917644739151,0.8694720268249512,0.9250833988189697,0.49070632457733154,0.8012101650238037
1,0.0002988172054756433,,3213,0.9265735745429993,0.42876729369163513,0.8505676984786987,0.9273391366004944,0.45881685614585876,0.7833119630813599,,,,,,
,,0.0002988172051971717,3214,,,,,,,,,,,,
2,,,4820,,,,,,,0.9397928714752197,0.4915376305580139,0.8814640641212463,0.9459320902824402,0.45230063796043396,0.8146816492080688
2,0.0002973430964630097,,4820,0.9320093989372253,0.4558757543563843,0.8601951599121094,0.9350612163543701,0.4324338734149933,0.7957854270935059,,,,,,
,,0.0002973430876093033,4821,,,,,,,,,,,,
3,,,6427,,,,,,,0.9303005337715149,0.43632590770721436,0.8613047003746033,0.9354977607727051,0.4105755686759949,0.790857195854187
3,0.00029528746381402016,,6427,0.9368067383766174,0.49331867694854736,0.8721717596054077,0.9372404217720032,0.4089561104774475,0.8098844289779663,,,,,,
,,0.00029528747416929463,6428,,,,,,,,,,,,
4,,,8034,,,,,,,0.9312292337417603,0.47442904114723206,0.8751091957092285,0.9450891613960266,0.3991233706474304,0.8064641952514648
4,0.00029265848570503294,,8034,0.9385225772857666,0.5191510319709778,0.8763083815574646,0.9391260743141174,0.39911365509033203,0.8182770013809204,,,,,,
,,0.00029265847744427303,8035,,,,,,,,,,,,
