model,backbone,variant,stratum,profile,seed,miou,ci_low,ci_high
deeplabv3plus,resnet50,pretrained,all,gpu_full,1414,0.8013051865506088,0.7226763469697248,0.8931756112958725
deeplabv3plus,resnet50,pretrained,all,gpu_full,1415,0.8319264525567802,0.732547598814661,0.9487852992802268
deeplabv3plus,resnet50,pretrained,all,gpu_full,1416,0.7970291048795566,0.726582998581218,0.8915759299441968
deeplabv3plus,resnet50,scratch,all,gpu_full,1414,0.8275122584804653,0.7334034736658658,0.9105078038954759
deeplabv3plus,resnet50,scratch,all,gpu_full,1415,0.8101144061597928,0.7278840199779458,0.8922655271258145
deeplabv3plus,resnet50,scratch,all,gpu_full,1416,0.8081798837242601,0.7303875505853142,0.8883663369738568
dinov3_sat,vitl16-sat493m,finetuned,all,gpu_full,1414,0.8398901944879998,0.7317172042053846,0.9276262974002726
dinov3_sat,vitl16-sat493m,finetuned,all,gpu_full,1415,0.8515510811643714,0.7386892849720916,0.928686353234962
dinov3_sat,vitl16-sat493m,finetuned,all,gpu_full,1416,0.8170009295487669,0.7308062340057031,0.9188251546776116
majority,none,constant,all,gpu_full,1414,0.05597769595010467,0.04647321945084876,0.06602974673701796
majority,none,constant,cross_rover,gpu_full,1414,0.0683903968364468,0.053579323299954046,0.08471011829469544
majority,none,constant,in_rover,gpu_full,1414,0.05597769595010467,0.04647321945084876,0.06602974673701796
sam,vit-b,region_oracle_upper_bound,all,gpu_full,1414,0.6310089502980776,0.4922248778843943,0.6759246349703719
segformer,mit-b0,pretrained,all,gpu_full,1414,0.8046949843978545,0.7262797063459584,0.9088860347822566
segformer,mit-b0,pretrained,all,gpu_full,1415,0.8275649740938431,0.7338843130502057,0.9372957248960286
segformer,mit-b0,pretrained,all,gpu_full,1416,0.8106222245105655,0.7213624492662797,0.9055879913493097
segformer,mit-b0,scratch,all,gpu_full,1414,0.7995024913395008,0.6972771596564559,0.8508809037432187
segformer,mit-b0,scratch,all,gpu_full,1415,0.8051201650173546,0.7084209009934213,0.8664038992049031
segformer,mit-b0,scratch,all,gpu_full,1416,0.8365283509447681,0.6993296984341214,0.8861546761196046
segformer,mit-b2,pretrained,all,gpu_full,1414,0.7985328261077126,0.7310947662732251,0.8763911887079836
segformer,mit-b2,pretrained,all,gpu_full,1415,0.8136182668879353,0.7306947229389973,0.9088240943388197
segformer,mit-b2,pretrained,all,gpu_full,1416,0.8341908272407944,0.7349914429095211,0.9448799752084651
segformer,mit-b2,scratch,all,gpu_full,1414,0.6843525055523101,0.6430998962757922,0.7262588794498019
segformer,mit-b2,scratch,all,gpu_full,1415,0.7303123110147726,0.6686896829901074,0.7969628258071386
segformer,mit-b2,scratch,all,gpu_full,1416,0.7956330919204448,0.6996262417858669,0.8638958528584252
tiny_unet,none,scratch,all,gpu_full,1414,0.6794741039881287,0.648663814893277,0.7188831984089497
tiny_unet,none,scratch,all,gpu_full,1415,0.6819140199345635,0.6484325485541287,0.7201443495611928
tiny_unet,none,scratch,all,gpu_full,1416,0.7042151877196343,0.6668361614902626,0.7500939069234706
unet,resnet34,pretrained,all,gpu_full,1414,0.8076129643109121,0.7249785010872802,0.915536906190653
unet,resnet34,pretrained,all,gpu_full,1415,0.8335326933479378,0.7296599579304621,0.9607634572603962
unet,resnet34,pretrained,all,gpu_full,1416,0.822210812141337,0.7280598058850375,0.9322729195859077
unet,resnet34,pretrained,cross_rover,gpu_full,1414,0.8366966642568542,0.7620508025964969,0.8868811934908223
unet,resnet34,pretrained,cross_rover,gpu_full,1415,0.8242975228985217,0.7316285033949862,0.8861540152850279
unet,resnet34,pretrained,cross_rover,gpu_full,1416,0.7138400367010379,0.6674894287189322,0.7759473566372233
unet,resnet34,pretrained,in_rover,gpu_full,1414,0.8076129643109121,0.7249785010872802,0.915536906190653
unet,resnet34,pretrained,in_rover,gpu_full,1415,0.8335326933479378,0.7296599579304621,0.9607634572603962
unet,resnet34,pretrained,in_rover,gpu_full,1416,0.822210812141337,0.7280598058850375,0.9322729195859077
unet,resnet34,scratch,all,gpu_full,1414,0.8205825703975599,0.7331604984537773,0.9055622700674969
unet,resnet34,scratch,all,gpu_full,1415,0.8226385706705944,0.7224367249568673,0.9305665569490439
unet,resnet34,scratch,all,gpu_full,1416,0.8296507766808077,0.7299259630204357,0.9258822839798624
