epoch,lr,lr-AdamW,step,train_iou_bedrock,train_iou_big_rock,train_iou_sand,train_iou_soil,train_loss,train_miou,val_iou_bedrock,val_iou_big_rock,val_iou_sand,val_iou_soil,val_loss,val_miou
,,0.0003,0,,,,,,,,,,,,
0,,,1606,,,,,,,0.8199998736381531,0.408908486366272,0.7773386836051941,0.8067457675933838,0.8063379526138306,0.7032482028007507
0,0.00029970399918965995,,1606,0.8531482219696045,0.19731982052326202,0.7087088227272034,0.8422372341156006,0.7940019965171814,0.6503535509109497,,,,,,
,,0.0002997040092642407,1607,,,,,,,,,,,,
1,,,3213,,,,,,,0.9240097403526306,0.41947877407073975,0.8369891047477722,0.9314533472061157,0.5207099914550781,0.7779827117919922
1,0.0002988172054756433,,3213,0.8958165645599365,0.3163149356842041,0.8000698089599609,0.8860185742378235,0.6317586898803711,0.7245549559593201,,,,,,
,,0.0002988172051971717,3214,,,,,,,,,,,,
2,,,4820,,,,,,,0.8850079774856567,0.2419779896736145,0.8180510997772217,0.9416394829750061,0.5143128633499146,0.7216691374778748
2,0.0002973430964630097,,4820,0.9163931608200073,0.3899621069431305,0.8296198844909668,0.9069724082946777,0.5664550065994263,0.760736882686615,,,,,,
,,0.0002973430876093033,4821,,,,,,,,,,,,
3,,,6427,,,,,,,0.9179633259773254,0.49266788363456726,0.8671685457229614,0.9042080640792847,0.6178698539733887,0.7955019474029541
3,0.00029528746381402016,,6427,0.9222983717918396,0.4179004728794098,0.8518906831741333,0.9150047898292542,0.5290815830230713,0.7767735719680786,,,,,,
,,0.00029528747416929463,6428,,,,,,,,,,,,
4,,,8034,,,,,,,0.9355387091636658,0.4974289834499359,0.8683940172195435,0.9375789165496826,0.509078323841095,0.8097351789474487
4,0.00029265848570503294,,8034,0.9258235096931458,0.45621490478515625,0.8559421300888062,0.918005108833313,0.4987163841724396,0.7889964580535889,,,,,,
,,0.00029265847744427303,8035,,,,,,,,,,,,
5,,,9641,,,,,,,0.9250320196151733,0.4817822277545929,0.8594145178794861,0.9269151091575623,0.5088002681732178,0.798285961151123
5,0.00028946646489202976,,9641,0.9337248802185059,0.480618953704834,0.8698790073394775,0.9301484227180481,0.47843998670578003,0.8035928010940552,,,,,,
,,0.0002894664728832377,9642,,,,,,,,,,,,
6,,,11248,,,,,,,0.9224470853805542,0.4955228865146637,0.8597345352172852,0.9396286010742188,0.45189133286476135,0.8043332695960999
6,0.0002857240615412593,,11248,0.9378105401992798,0.5375667810440063,0.8701135516166687,0.9332645535469055,0.44414758682250977,0.8196888566017151,,,,,,
,,0.000285724057869903,11249,,,,,,,,,,,,
7,,,12855,,,,,,,0.93690425157547,0.5028277635574341,0.8603900074958801,0.9416242837905884,0.5308756828308105,0.8104366064071655
7,0.00028144600219093263,,12855,0.9405348896980286,0.5537911057472229,0.8765769004821777,0.9340038299560547,0.4293956458568573,0.8262266516685486,,,,,,
,,0.00028144600200657956,12856,,,,,,,,,,,,
8,,,14462,,,,,,,0.9335269927978516,0.4771992862224579,0.8672911524772644,0.9346762895584106,0.600746750831604,0.8031734228134155
8,0.00027664919616654515,,14462,0.9443148970603943,0.559647798538208,0.8854337930679321,0.9405456185340881,0.42621153593063354,0.832485556602478,,,,,,
,,0.0002766491888253023,14463,,,,,,,,,,,,
9,,,16069,,,,,,,0.9406751990318298,0.5481916666030884,0.8686330318450928,0.9464414119720459,0.4323120415210724,0.825985312461853
9,0.00027135256095789373,,16069,0.9469449520111084,0.5871621966362,0.8846896886825562,0.9430034160614014,0.41557130217552185,0.8404500484466553,,,,,,
,,0.00027135254915624217,16070,,,,,,,,,,,,
10,,,17676,,,,,,,0.92022305727005,0.5512589812278748,0.8512694835662842,0.9165392518043518,0.5628896951675415,0.809822678565979
10,0.0002655769931152463,,17676,0.9467705488204956,0.6076368093490601,0.8905711770057678,0.9428473711013794,0.39530661702156067,0.8469564914703369,,,,,,
,,0.0002655769864163684,17677,,,,,,,,,,,,
11,,,19283,,,,,,,0.9279513955116272,0.5223641991615295,0.8691845536231995,0.9269638657569885,0.6020874977111816,0.8116160035133362
