run_id,name,split,scope,metric,value,inter,union,n_valid
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,soil,iou,,0,0,0
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,bedrock,iou,,0,0,0
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,sand,iou,,0,0,0
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,0
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,,0,0,0
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,,0,0,0
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,soil,iou,0.0,0,4482,123986
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,bedrock,iou,0.9638507573435711,119504,123986,123986
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,sand,iou,,0,0,123986
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,123986
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,0.9638507573435711,0,0,123986
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,0.4829444720232608,0,0,123986
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,soil,iou,0.8940187731936259,8191,9162,22748
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,bedrock,iou,0.9819935206810819,13034,13273,22748
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,sand,iou,0.12149532710280374,156,1284,22748
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,big_rock,iou,0.0,0,396,22748
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,ALL,pixel_acc,0.9399068049938456,0,0,22748
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,ALL,boundary_f1,0.5145752964093676,0,0,22748
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,soil,iou,,0,0,36839
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,bedrock,iou,0.9612910231005185,35413,36839,36839
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,sand,iou,,0,0,36839
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,big_rock,iou,0.0,0,1426,36839
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,ALL,pixel_acc,0.9612910231005185,0,0,36839
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,ALL,boundary_f1,0.4730271930723517,0,0,36839
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,soil,iou,,0,0,88991
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,bedrock,iou,1.0,88991,88991,88991
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,sand,iou,,0,0,88991
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,big_rock,iou,,0,0,88991
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,ALL,pixel_acc,1.0,0,0,88991
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,ALL,boundary_f1,1.0,0,0,88991
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,soil,iou,,0,0,0
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,bedrock,iou,,0,0,0
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,sand,iou,,0,0,0
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,big_rock,iou,,0,0,0
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,ALL,pixel_acc,,0,0,0
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,ALL,boundary_f1,,0,0,0
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_601414568edr_f0731482ncam00253m1,test_msl,soil,iou,1.0,124196,124196,124196
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_601414568edr_f0731482ncam00253m1,test_msl,bedrock,iou,,0,0,124196
segformer__pretrained__mit-b2__in_rover__seed1415__gpu_full__b8526e10__gitc188b320__codebebd8b2d__20260714T203806552222Z,msl_ncam_nla_601414568edr_f0731482ncam00253m1,test_msl,sand,iou,,0,0,124196
