run_id,name,split,scope,metric,value,inter,union,n_valid
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,soil,iou,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,bedrock,iou,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,sand,iou,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,soil,iou,0.0,0,4482,123986
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,bedrock,iou,0.9638507573435711,119504,123986,123986
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,sand,iou,,0,0,123986
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,123986
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,0.9638507573435711,0,0,123986
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,0.4829444720232608,0,0,123986
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,soil,iou,0.9623485115895988,8179,8499,22748
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,bedrock,iou,0.8895736658932715,12269,13792,22748
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,sand,iou,0.0,0,1284,22748
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,big_rock,iou,0.0,0,1473,22748
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,ALL,pixel_acc,0.8988922103042025,0,0,22748
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,ALL,boundary_f1,0.43941551605322077,0,0,22748
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,soil,iou,,0,0,36839
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,bedrock,iou,0.9862374114389642,36332,36839,36839
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,sand,iou,,0,0,36839
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,big_rock,iou,0.0,0,507,36839
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,ALL,pixel_acc,0.9862374114389642,0,0,36839
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409036993edr_f0051662ncam05703m1,test_msl,ALL,boundary_f1,0.4787577161367781,0,0,36839
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,soil,iou,,0,0,88991
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,bedrock,iou,1.0,88991,88991,88991
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,sand,iou,,0,0,88991
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,big_rock,iou,,0,0,88991
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,ALL,pixel_acc,1.0,0,0,88991
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_409037112edr_f0051662ncam05703m1,test_msl,ALL,boundary_f1,1.0,0,0,88991
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,soil,iou,,0,0,0
segformer__scratch__mit-b0__in_rover__seed1415__gpu_full__df715c71__gitc188b320__codebebd8b2d__20260714T105400494420Z,msl_ncam_nla_601414440edr_f0731482ncam00375m1,test_msl,bedrock,iou,,0,0,0
