epoch,lr,lr-AdamW,step,train_iou_bedrock,train_iou_big_rock,train_iou_sand,train_iou_soil,train_loss,train_miou,val_iou_bedrock,val_iou_big_rock,val_iou_sand,val_iou_soil,val_loss,val_miou
,,0.0003,0,,,,,,,,,,,,
0,,,1606,,,,,,,0.7081342935562134,0.11917807161808014,0.47627538442611694,0.534457266330719,1.4442356824874878,0.45951128005981445
0,0.00029970399918965995,,1606,0.6092395186424255,0.05824406072497368,0.3258941173553467,0.4901122450828552,1.5618351697921753,0.37087249755859375,,,,,,
,,0.0002997040092642407,1607,,,,,,,,,,,,
1,,,3213,,,,,,,0.7886480689048767,0.12451733648777008,0.545029878616333,0.7154451608657837,1.1744600534439087,0.543410062789917
1,0.0002988172054756433,,3213,0.7423985004425049,0.11363106220960617,0.531136691570282,0.6960339546203613,1.124983549118042,0.5208000540733337,,,,,,
,,0.0002988172051971717,3214,,,,,,,,,,,,
2,,,4820,,,,,,,0.8220332264900208,0.18443763256072998,0.6570360064506531,0.8072782754898071,0.91704922914505,0.6176962852478027
2,0.0002973430964630097,,4820,0.7831982374191284,0.164030522108078,0.5840429067611694,0.7487046718597412,0.9917010068893433,0.5699940919876099,,,,,,
,,0.0002973430876093033,4821,,,,,,,,,,,,
3,,,6427,,,,,,,0.8485055565834045,0.2179429680109024,0.6218703985214233,0.8171122074127197,0.8045771718025208,0.6263577938079834
3,0.00029528746381402016,,6427,0.810572624206543,0.19673049449920654,0.6256977319717407,0.7758941054344177,0.9089449644088745,0.6022237539291382,,,,,,
,,0.00029528747416929463,6428,,,,,,,,,,,,
4,,,8034,,,,,,,0.8710633516311646,0.26874566078186035,0.6940340399742126,0.8504148721694946,0.8242018818855286,0.6710644960403442
4,0.00029265848570503294,,8034,0.8281232714653015,0.21469083428382874,0.6470380425453186,0.7951462268829346,0.8650945425033569,0.6212496161460876,,,,,,
,,0.00029265847744427303,8035,,,,,,,,,,,,
5,,,9641,,,,,,,0.8779127597808838,0.26596614718437195,0.7085623145103455,0.8649234175682068,0.8180007934570312,0.679341197013855
5,0.00028946646489202976,,9641,0.8399545550346375,0.2257126122713089,0.6724344491958618,0.8115426301956177,0.8240698575973511,0.6374110579490662,,,,,,
,,0.0002894664728832377,9642,,,,,,,,,,,,
6,,,11248,,,,,,,0.8676228523254395,0.27448564767837524,0.73199462890625,0.8629840612411499,0.7661173939704895,0.6842718124389648
6,0.0002857240615412593,,11248,0.8438032865524292,0.24413692951202393,0.6854056715965271,0.8127154111862183,0.8000670671463013,0.6465153098106384,,,,,,
,,0.000285724057869903,11249,,,,,,,,,,,,
