epoch,lr,lr-AdamW,step,train_iou_bedrock,train_iou_big_rock,train_iou_sand,train_iou_soil,train_loss,train_miou,val_iou_bedrock,val_iou_big_rock,val_iou_sand,val_iou_soil,val_loss,val_miou
,,0.0003,0,,,,,,,,,,,,
0,,,1606,,,,,,,0.6087860465049744,0.07399436086416245,0.4351033866405487,0.6447697877883911,1.4992390871047974,0.4406633973121643
0,0.00029970399918965995,,1606,0.5971695780754089,0.03768516704440117,0.3648521900177002,0.5036725997924805,1.5618525743484497,0.37584489583969116,,,,,,
,,0.0002997040092642407,1607,,,,,,,,,,,,
1,,,3213,,,,,,,0.6422540545463562,0.1104394793510437,0.6092635989189148,0.7052918672561646,1.0936157703399658,0.5168122053146362
1,0.0002988172054756433,,3213,0.7523934841156006,0.09174219518899918,0.537328839302063,0.7181329727172852,1.1344938278198242,0.5248993635177612,,,,,,
,,0.0002988172051971717,3214,,,,,,,,,,,,
2,,,4820,,,,,,,0.6921343207359314,0.06654645502567291,0.608245313167572,0.81968754529953,1.0301369428634644,0.5466533899307251
2,0.0002973430964630097,,4820,0.7941464781761169,0.13948294520378113,0.5945953726768494,0.767271101474762,0.999337911605835,0.5738739967346191,,,,,,
,,0.0002973430876093033,4821,,,,,,,,,,,,
3,,,6427,,,,,,,0.8452314138412476,0.21253737807273865,0.6460203528404236,0.8192752599716187,0.9530774354934692,0.6307660937309265
3,0.00029528746381402016,,6427,0.8124940991401672,0.16428595781326294,0.624944269657135,0.7802466750144958,0.937490701675415,0.5954927206039429,,,,,,
,,0.00029528747416929463,6428,,,,,,,,,,,,
4,,,8034,,,,,,,0.8522012829780579,0.21990004181861877,0.6762509942054749,0.8243692517280579,0.8300504088401794,0.6431803703308105
4,0.00029265848570503294,,8034,0.82890784740448,0.1868312805891037,0.6569539904594421,0.8037081360816956,0.8731576204299927,0.6191003322601318,,,,,,
,,0.00029265847744427303,8035,,,,,,,,,,,,
5,,,9641,,,,,,,0.7702791094779968,0.2214285284280777,0.6590018272399902,0.7965542674064636,0.8832647800445557,0.6118159294128418
5,0.00028946646489202976,,9641,0.8280042409896851,0.18217909336090088,0.6499786376953125,0.8032768964767456,0.8872334957122803,0.6158597469329834,,,,,,
,,0.0002894664728832377,9642,,,,,,,,,,,,
6,,,11248,,,,,,,0.0,0.010954897850751877,0.0,0.0,18.635087966918945,0.002738724462687969
6,0.0002857240615412593,,11248,0.7875723242759705,0.1720215231180191,0.5759931802749634,0.7603219151496887,0.9975163340568542,0.5739772319793701,,,,,,
,,0.000285724057869903,11249,,,,,,,,,,,,
7,,,12855,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
7,0.00028144600219093263,,12855,0.17620320618152618,0.02308625355362892,0.14303462207317352,0.40344175696372986,nan,0.18644146621227264,,,,,,
,,0.00028144600200657956,12856,,,,,,,,,,,,
8,,,14462,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
8,0.00027664919616654515,,14462,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
,,0.0002766491888253023,14463,,,,,,,,,,,,
9,,,16069,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
9,0.00027135256095789373,,16069,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
,,0.00027135254915624217,16070,,,,,,,,,,,,
10,,,17676,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
10,0.0002655769931152463,,17676,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
,,0.0002655769864163684,17677,,,,,,,,,,,,
11,,,19283,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
11,0.0002593452809378505,,19283,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
,,0.0002593452941132117,19284,,,,,,,,,,,,
12,,,20890,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
12,0.0002526820753701031,,20890,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
,,0.0002526820658893033,20891,,,,,,,,,,,,
13,,,22497,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
13,0.00024561359896324575,,22497,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
,,0.0002456135984623034,22498,,,,,,,,,,,,
14,,,24104,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
14,0.00023816779139451683,,24104,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
