epoch,lr,lr-AdamW,step,train_iou_bedrock,train_iou_big_rock,train_iou_sand,train_iou_soil,train_loss,train_miou,val_iou_bedrock,val_iou_big_rock,val_iou_sand,val_iou_soil,val_loss,val_miou
,,0.0003,0,,,,,,,,,,,,
0,,,1606,,,,,,,0.6525939106941223,0.070132777094841,0.487534761428833,0.45455846190452576,1.4964677095413208,0.4162049889564514
0,0.00029970399918965995,,1606,0.5991076231002808,0.05006156116724014,0.3592914044857025,0.5112175941467285,1.5450119972229004,0.37991952896118164,,,,,,
,,0.0002997040092642407,1607,,,,,,,,,,,,
1,,,3213,,,,,,,0.8140555620193481,0.04816392809152603,0.5597516894340515,0.7925832867622375,1.1006076335906982,0.5536386370658875
1,0.0002988172054756433,,3213,0.7559254765510559,0.1030314713716507,0.5492129921913147,0.7181426286697388,1.1049648523330688,0.5315781831741333,,,,,,
,,0.0002988172051971717,3214,,,,,,,,,,,,
2,,,4820,,,,,,,0.8564921021461487,0.21809880435466766,0.6538805365562439,0.8269007205963135,0.8565362095832825,0.6388430595397949
2,0.0002973430964630097,,4820,0.7940182685852051,0.15088693797588348,0.5986378788948059,0.7628923058509827,0.9915222525596619,0.5766088366508484,,,,,,
,,0.0002973430876093033,4821,,,,,,,,,,,,
3,,,6427,,,,,,,0.8385049104690552,0.13721619546413422,0.615973711013794,0.7959471344947815,0.8596323728561401,0.5969104766845703
3,0.00029528746381402016,,6427,0.8198142647743225,0.1711587756872177,0.6405126452445984,0.7880750298500061,0.9065545201301575,0.6048901677131653,,,,,,
,,0.00029528747416929463,6428,,,,,,,,,,,,
4,,,8034,,,,,,,0.8445855379104614,0.2037273347377777,0.5262134075164795,0.8274794816970825,1.1274396181106567,0.6005014181137085
4,0.00029265848570503294,,8034,0.8308900594711304,0.1895969659090042,0.651065468788147,0.8044330477714539,0.8700246810913086,0.6189963817596436,,,,,,
,,0.00029265847744427303,8035,,,,,,,,,,,,
5,,,9641,,,,,,,0.8642804622650146,0.2396467626094818,0.7027400135993958,0.8635544180870056,0.8205005526542664,0.6675554513931274
5,0.00028946646489202976,,9641,0.8425096869468689,0.20293951034545898,0.6831201910972595,0.8215318918228149,0.8209946751594543,0.6375253200531006,,,,,,
,,0.0002894664728832377,9642,,,,,,,,,,,,
6,,,11248,,,,,,,0.7522766590118408,0.1941814422607422,0.6645305156707764,0.7765442132949829,0.9501396417617798,0.5968831777572632
6,0.0002857240615412593,,11248,0.8412299156188965,0.20977967977523804,0.678709864616394,0.8138915300369263,0.8344904780387878,0.6359027624130249,,,,,,
,,0.000285724057869903,11249,,,,,,,,,,,,
7,,,12855,,,,,,,0.6724120378494263,0.0,0.672654926776886,0.468610554933548,6.180436611175537,0.45341938734054565
7,0.00028144600219093263,,12855,0.8359576463699341,0.18083952367305756,0.6768105030059814,0.8154861927032471,0.8466410636901855,0.627273440361023,,,,,,
,,0.00028144600200657956,12856,,,,,,,,,,,,
8,,,14462,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
8,0.00027664919616654515,,14462,0.007286891341209412,0.003074255306273699,0.01018044725060463,0.3714536130428314,nan,0.09799879789352417,,,,,,
,,0.0002766491888253023,14463,,,,,,,,,,,,
9,,,16069,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
9,0.00027135256095789373,,16069,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
,,0.00027135254915624217,16070,,,,,,,,,,,,
10,,,17676,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
10,0.0002655769931152463,,17676,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
,,0.0002655769864163684,17677,,,,,,,,,,,,
11,,,19283,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
11,0.0002593452809378505,,19283,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
,,0.0002593452941132117,19284,,,,,,,,,,,,
12,,,20890,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
12,0.0002526820753701031,,20890,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
,,0.0002526820658893033,20891,,,,,,,,,,,,
13,,,22497,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
13,0.00024561359896324575,,22497,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
,,0.0002456135984623034,22498,,,,,,,,,,,,
14,,,24104,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
14,0.00023816779139451683,,24104,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
,,0.00023816778784387096,24105,,,,,,,,,,,,
15,,,25711,,,,,,,0.0,0.0,0.0,0.38331180810928345,nan,0.09582795202732086
15,0.0002303740184288472,,25711,0.0,0.0,0.0,0.36969634890556335,nan,0.09242408722639084,,,,,,
