run_id,name,split,scope,metric,value,inter,union,n_valid
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,soil,iou,,0,0,0
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,bedrock,iou,,0,0,0
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,sand,iou,,0,0,0
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,0
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,,0,0,0
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036068edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,,0,0,0
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,soil,iou,0.8461861735658752,4027,4759,123986
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,bedrock,iou,0.9460034368274413,113405,119878,123986
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,sand,iou,0.0,0,5903,123986
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,big_rock,iou,,0,0,123986
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,pixel_acc,0.9471391931347087,0,0,123986
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036116edr_f0051606ncam00348m1,test_msl,ALL,boundary_f1,0.5429724594417052,0,0,123986
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,soil,iou,0.6862397518280523,6194,9026,22748
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,bedrock,iou,0.8826328310864393,12243,13871,22748
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,sand,iou,0.22704559650218614,727,3202,22748
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,big_rock,iou,0.0,0,233,22748
tiny_unet__scratch__none__in_rover__seed1415__gpu_full__3a7324f6__gitc188b320__codebebd8b2d__20260713T101023694260Z,msl_ncam_nla_409036860edr_f0051662ncam00346m1,test_msl,ALL,pixel_acc,0.8424476877088095,0,0,22748
