epoch,lr,lr-AdamW,step,train_iou_bedrock,train_iou_big_rock,train_iou_sand,train_iou_soil,train_loss,train_miou,val_iou_bedrock,val_iou_big_rock,val_iou_sand,val_iou_soil,val_loss,val_miou
,,0.0003,0,,,,,,,,,,,,
0,,,1606,,,,,,,0.855938196182251,0.2663479149341583,0.6920536160469055,0.8440995216369629,0.7266705632209778,0.6646097898483276
0,0.00029970399918965995,,1606,0.8150502443313599,0.16936945915222168,0.6684843897819519,0.7923305630683899,0.9214009642601013,0.6113086938858032,,,,,,
,,0.0002997040092642407,1607,,,,,,,,,,,,
1,,,3213,,,,,,,0.8904889822006226,0.20665650069713593,0.7734509110450745,0.8852432370185852,0.6120089292526245,0.6889599561691284
1,0.0002988172054756433,,3213,0.8838919401168823,0.2659693956375122,0.77878737449646,0.8725963234901428,0.6877700686454773,0.7003113031387329,,,,,,
,,0.0002988172051971717,3214,,,,,,,,,,,,
2,,,4820,,,,,,,0.9250744581222534,0.4005964696407318,0.8457936644554138,0.9218353629112244,0.5405499339103699,0.7733249664306641
2,0.0002973430964630097,,4820,0.9031965732574463,0.3281298875808716,0.8084726333618164,0.8940509557723999,0.6125816106796265,0.7334625124931335,,,,,,
,,0.0002973430876093033,4821,,,,,,,,,,,,
3,,,6427,,,,,,,0.8975005745887756,0.3440003991127014,0.8567042946815491,0.8990534543991089,0.5553545951843262,0.7493146657943726
3,0.00029528746381402016,,6427,0.9154219627380371,0.37958478927612305,0.8250163793563843,0.9055130481719971,0.5637524724006653,0.756384015083313,,,,,,
,,0.00029528747416929463,6428,,,,,,,,,,,,
4,,,8034,,,,,,,0.783790647983551,0.22596977651119232,0.6412385702133179,0.807635486125946,0.9581089019775391,0.6146585941314697
4,0.00029265848570503294,,8034,0.9215226173400879,0.42686164379119873,0.8444854021072388,0.9139952063560486,0.517570436000824,0.7767162322998047,,,,,,
,,0.00029265847744427303,8035,,,,,,,,,,,,
5,,,9641,,,,,,,0.8791971206665039,0.3684355318546295,0.6428574919700623,0.886275053024292,0.8864348530769348,0.6941913366317749
5,0.00028946646489202976,,9641,0.9278223514556885,0.45269230008125305,0.8531360626220703,0.9178305268287659,0.4945187270641327,0.7878702878952026,,,,,,
,,0.0002894664728832377,9642,,,,,,,,,,,,
6,,,11248,,,,,,,0.906919002532959,0.4366677403450012,0.799037516117096,0.9030807614326477,0.7526007294654846,0.7614262104034424
6,0.0002857240615412593,,11248,0.9339662790298462,0.4932215213775635,0.8614256381988525,0.9279071092605591,0.4677910804748535,0.8041301369667053,,,,,,
,,0.000285724057869903,11249,,,,,,,,,,,,
7,,,12855,,,,,,,0.9289731383323669,0.4379807710647583,0.8312976956367493,0.9326447248458862,0.5936277508735657,0.7827240824699402
7,0.00028144600219093263,,12855,0.938051700592041,0.5322929620742798,0.8638086915016174,0.9304398894309998,0.449062705039978,0.8161483407020569,,,,,,
,,0.00028144600200657956,12856,,,,,,,,,,,,
8,,,14462,,,,,,,0.9215166568756104,0.5376238822937012,0.8177407383918762,0.9237448573112488,0.4683832824230194,0.8001565337181091
8,0.00027664919616654515,,14462,0.9403784275054932,0.5651017427444458,0.8710013628005981,0.9320093393325806,0.42953240871429443,0.827122688293457,,,,,,
,,0.0002766491888253023,14463,,,,,,,,,,,,
9,,,16069,,,,,,,0.9382518529891968,0.5288186073303223,0.8883066773414612,0.9395028948783875,0.43762391805648804,0.8237199783325195
9,0.00027135256095789373,,16069,0.9438472390174866,0.6048507690429688,0.8779388666152954,0.9361021518707275,0.39877235889434814,0.8406847715377808,,,,,,
,,0.00027135254915624217,16070,,,,,,,,,,,,
10,,,17676,,,,,,,0.9269790053367615,0.4007892608642578,0.8734418153762817,0.9447007775306702,0.44310665130615234,0.7864776849746704
10,0.0002655769931152463,,17676,0.9478864073753357,0.631329357624054,0.887067973613739,0.9417411684989929,0.385816365480423,0.852006196975708,,,,,,
,,0.0002655769864163684,17677,,,,,,,,,,,,
11,,,19283,,,,,,,0.9359763860702515,0.5426146984100342,0.8908020257949829,0.9335163831710815,0.4979448616504669,0.8257273435592651
11,0.0002593452809378505,,19283,0.953192949295044,0.659899115562439,0.8871039748191833,0.9471391439437866,0.3687625229358673,0.8618338108062744,,,,,,
,,0.0002593452941132117,19284,,,,,,,,,,,,
12,,,20890,,,,,,,0.9399003386497498,0.5838998556137085,0.871983528137207,0.9432196021080017,0.4959461987018585,0.8347508311271667
12,0.0002526820753701031,,20890,0.9547168612480164,0.7079331278800964,0.8980806469917297,0.9490482807159424,0.34702301025390625,0.8774447441101074,,,,,,
,,0.0002526820658893033,20891,,,,,,,,,,,,
13,,,22497,,,,,,,0.946314811706543,0.5922446250915527,0.9016286730766296,0.9505207538604736,0.4764655530452728,0.8476772308349609
13,0.00024561359896324575,,22497,0.9580029249191284,0.7224121689796448,0.904834508895874,0.9527654647827148,0.33947670459747314,0.8845037221908569,,,,,,
,,0.0002456135984623034,22498,,,,,,,,,,,,
14,,,24104,,,,,,,0.9322095513343811,0.5869447588920593,0.8877172470092773,0.9333471655845642,0.5797733068466187,0.8350546956062317
14,0.00023816779139451683,,24104,0.9589706659317017,0.7246944308280945,0.9027048945426941,0.9540464878082275,0.3462570011615753,0.8851041197776794,,,,,,
,,0.00023816778784387096,24105,,,,,,,,,,,,
15,,,25711,,,,,,,0.9423266053199768,0.5946373343467712,0.8926960229873657,0.947664201259613,0.46505847573280334,0.8443310260772705
15,0.0002303740184288472,,25711,0.9605820178985596,0.7436432242393494,0.9096735119819641,0.9551632404327393,0.32348182797431946,0.8922654986381531,,,,,,
,,0.00023037401924684944,25712,,,,,,,,,,,,
16,,,27318,,,,,,,0.9434540271759033,0.6243470907211304,0.8888518810272217,0.9441540837287903,0.5525261163711548,0.8502017259597778
16,0.00022226305736694485,,27318,0.9651899337768555,0.7812784910202026,0.9158273339271545,0.9610807299613953,0.29802900552749634,0.9058441519737244,,,,,,
,,0.00022226305111525726,27319,,,,,,,,,,,,
17,,,28925,,,,,,,0.9292833209037781,0.5577155351638794,0.8758019804954529,0.9367426037788391,0.6897924542427063,0.8248858451843262
17,0.00021386689331848174,,28925,0.9666230082511902,0.7958372235298157,0.9189845323562622,0.9639602899551392,0.265840083360672,0.9113512635231018,,,,,,
,,0.00021386689373476087,28926,,,,,,,,,,,,
18,,,30532,,,,,,,0.9449906349182129,0.6019123196601868,0.8822843432426453,0.9501952528953552,0.5084967017173767,0.8448456525802612
18,0.00020521869009826332,,30532,0.9683393239974976,0.8181102871894836,0.9219157099723816,0.965910792350769,0.25387388467788696,0.918569028377533,,,,,,
,,0.00020521868290270169,30533,,,,,,,,,,,,
19,,,32139,,,,,,,0.9467118978500366,0.5934907793998718,0.8968120813369751,0.9488746523857117,0.5868534445762634,0.8464723229408264
19,0.00019635254284366965,,32139,0.9717601537704468,0.8290723562240601,0.9241518974304199,0.9687460660934448,0.24525558948516846,0.9234325885772705,,,,,,
,,0.00019635254915624208,32140,,,,,,,,,,,,
20,,,33746,,,,,,,0.9328468441963196,0.584043025970459,0.8721219897270203,0.9440380334854126,0.5227143168449402,0.8332625031471252
20,0.0001873034780146554,,33746,0.973366916179657,0.8460404872894287,0.9280655980110168,0.9709956645965576,0.21069078147411346,0.929617166519165,,,,,,
,,0.00018730348307472816,33747,,,,,,,,,,,,
21,,,35353,,,,,,,0.9463561177253723,0.5877724289894104,0.8919446468353271,0.9488523006439209,0.6174178123474121,0.8437313437461853
