run_id,model,backbone,variant,scope,stratum,metric,value,ci_low,ci_high,status,profile,seed,git_sha,config_hash,total_parameters,trainable_parameters
unet__resnet34__native__validation__seed1414__92b57752__20260715T052838809115Z,unet,resnet34,native,ALL,validation,miou,0.8492933550997247,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,92b5775237535319603a28be402a088bee762585ce7ba06ab852ca9357f00444,24436804,24436804
unet__resnet34__native__validation__seed1414__92b57752__20260715T052838809115Z,unet,resnet34,native,ALL,validation,pixel_acc,0.9676682924524874,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,92b5775237535319603a28be402a088bee762585ce7ba06ab852ca9357f00444,24436804,24436804
unet__resnet34__native__validation__seed1414__92b57752__20260715T052838809115Z,unet,resnet34,native,ALL,validation,boundary_f1,0.7338069742774201,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,92b5775237535319603a28be402a088bee762585ce7ba06ab852ca9357f00444,24436804,24436804
unet__resnet34__native__validation__seed1414__92b57752__20260715T052838809115Z,unet,resnet34,native,big_rock,validation,small_component_recall,0.3857677902621723,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,92b5775237535319603a28be402a088bee762585ce7ba06ab852ca9357f00444,24436804,24436804
unet__resnet34__native__validation__seed1414__92b57752__20260715T052838809115Z,unet,resnet34,native,big_rock,validation,small_components_eligible,267.0,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,92b5775237535319603a28be402a088bee762585ce7ba06ab852ca9357f00444,24436804,24436804
unet__resnet34__native__validation__seed1414__92b57752__20260715T052838809115Z,unet,resnet34,native,big_rock,validation,small_components_recalled,103.0,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,92b5775237535319603a28be402a088bee762585ce7ba06ab852ca9357f00444,24436804,24436804
unet__resnet34__native__validation__seed1414__92b57752__20260715T052838809115Z,unet,resnet34,native,soil,validation,iou,0.9521553951978696,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,92b5775237535319603a28be402a088bee762585ce7ba06ab852ca9357f00444,24436804,24436804
unet__resnet34__native__validation__seed1414__92b57752__20260715T052838809115Z,unet,resnet34,native,bedrock,validation,iou,0.9467392757721872,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,92b5775237535319603a28be402a088bee762585ce7ba06ab852ca9357f00444,24436804,24436804
unet__resnet34__native__validation__seed1414__92b57752__20260715T052838809115Z,unet,resnet34,native,sand,validation,iou,0.8870392600703507,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,92b5775237535319603a28be402a088bee762585ce7ba06ab852ca9357f00444,24436804,24436804
unet__resnet34__native__validation__seed1414__92b57752__20260715T052838809115Z,unet,resnet34,native,big_rock,validation,iou,0.6112394893584913,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,92b5775237535319603a28be402a088bee762585ce7ba06ab852ca9357f00444,24436804,24436804
unet__resnet34__native__validation__seed1414__92b57752__20260715T052838809115Z,unet,resnet34,native,ALL,validation,latency_median_ms,7.317503929138184,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,92b5775237535319603a28be402a088bee762585ce7ba06ab852ca9357f00444,24436804,24436804
unet__resnet34__native__validation__seed1414__92b57752__20260715T052838809115Z,unet,resnet34,native,ALL,validation,peak_gpu_memory_bytes,2765503488.0,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,92b5775237535319603a28be402a088bee762585ce7ba06ab852ca9357f00444,24436804,24436804
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,ALL,validation,miou,0.8508368604305305,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,ALL,validation,pixel_acc,0.9670532826595859,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,ALL,validation,boundary_f1,0.7486511545370442,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,big_rock,validation,small_component_recall,0.3258426966292135,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,big_rock,validation,small_components_eligible,267.0,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,big_rock,validation,small_components_recalled,87.0,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,soil,validation,iou,0.9480324478450364,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
unet__resnet34__static__validation__seed1414__6efd36ea__20260715T071214339078Z,unet,resnet34,static,bedrock,validation,iou,0.9468436272257071,,,ok,gpu_full,1414,871b4d1cb9a55ced0225f9750747d33790d23c8c,6efd36ea87bb70b9c2ed9a10f3e3ce7b4383ec67c2f44839c36c2a5e8d42c327,24783626,24783626
