system,n,mean,sd,params
Majority (bedrock),1,0.05597769595010467,,0.0
Tiny U-Net,3,0.6885344372141088,0.01363461586436597,117412.0
U-Net R34 · pretrained,3,0.8211188232667289,0.012994322533895661,24436804.0
U-Net R34 · scratch,3,0.824290639249654,0.004754480964450331,24436804.0
DeepLabV3+ R50 · pretrained,3,0.8100869146623152,0.019034055799991956,26678356.0
DeepLabV3+ R50 · scratch,3,0.8152688494548394,0.010647130725692159,26678356.0
SegFormer B0 · pretrained,3,0.8142940610007544,0.011868904523235002,3715172.0
SegFormer B0 · scratch,3,0.8137170024338746,0.01995389135110738,3715172.0
SegFormer B2 · pretrained,3,0.8154473067454808,0.017899226276632284,27349700.0
SegFormer B2 · scratch,3,0.7367659694958425,0.055920296015415455,27349700.0
DINOv3-SAT ViT-L/16,3,0.8361474017337128,0.017576535988825342,305490436.0
SAM region-oracle upper bound,1,0.6310089502980776,,93735472.0
